tic_id,n_sectors
179040880,39
309791156,39
141025090,39
167305688,39
364326091,39
391810734,39
404804908,39
309614870,39
391887898,39
350332233,39
141756071,39
350346371,39
350345682,39
293271581,39
179369863,39
391887875,39
382258844,39
179438938,39
293347978,39
293345927,39
293272915,39
167204164,39
372908110,39
370224333,39
176935619,39
176935006,39
350623126,39
350622984,39
350620310,39
350618622,39
149219496,39
373843860,39
373843852,39
150187916,39
277291895,39
141979696,39
375055723,39
150440176,39
40716679,39
150143137,39
276935996,39
141281526,39
149175396,39
350708927,39
277023992,39
277023834,39
40793484,39
150393623,39
260164371,39
149175965,39
276935568,39
260266504,39
260243101,39
382067256,39
150391118,39
150357404,39
260297461,39
260266656,39
150360766,39
350480660,39
167574513,39
149444341,39
350560959,39
41532261,38
278987417,38
374860864,38
167007869,38
260369118,38
425069023,38
425081475,38
167526485,38
167526477,38
149603524,38
150437899,38
149388265,38
350620788,38
391948920,38
150390490,38
350654712,38
167524563,38
260266502,38
167524278,38
179639066,38
150188736,38
373916957,38
373985178,38
149159039,38
149972102,38
404768019,38
150272064,38
373768576,38
277298434,38
277025859,38
277298891,38
277300234,38
389925768,38
389750989,38
389363695,38
149540525,38
167119619,38
277300215,38
382041479,38
260243143,38
382028425,38
276936458,38
277022505,38
277022637,38
277022838,38
277022967,38
149155198,38
309754884,38
404967301,38
141121793,38
31508240,38
31506424,38
404852080,38
404966400,38
404966425,38
276935987,38
276936239,38
150166721,38
276936320,38
149976535,38
150437065,38
382247321,38
149346163,38
149630160,38
150428135,38
277173662,38
277173650,38
277172980,38
277102246,38
404933493,38
375063320,38
404852096,38
260370233,38
167554039,38
167554898,38
260504147,38
350580827,38
425083410,38
150098777,38
150028806,38
41227743,38
41173667,38
141625486,38
166973387,38
150062447,37
41464373,37
150104808,37
150064391,37
141278888,37
167010837,37
149389419,37
260300455,37
149990098,37
150361616,37
149573659,37
404768847,37
260266066,37
167085242,37
167010957,37
404798544,37
149217937,37
277026183,37
277298771,37
149248196,37
